,XJT US Equity
2005-12-28,83.2
2005-12-29,81
2005-12-30,80.9
2006-01-03,81.2
2006-01-04,83.5
2006-01-05,82.3
2006-01-06,83.8
2006-01-09,83.5
2006-01-10,82
2006-01-11,80
2006-01-12,81.7
2006-01-13,80.8
2006-01-17,76.4
2006-01-18,77.8
2006-01-19,79.4
2006-01-20,76.3
2006-01-23,78.8
2006-01-24,76.5
2006-01-25,75.2
2006-01-26,70.6
2006-01-27,70.1
2006-01-30,71.7
2006-01-31,70.9
2006-02-01,70.7
2006-02-02,71.7
2006-02-03,70.3
2006-02-06,70
2006-02-07,69.9
2006-02-08,70.3
2006-02-09,70
2006-02-10,71
2006-02-13,70.9
2006-02-14,74.6
2006-02-15,75.1
2006-02-16,74.5
2006-02-17,74.5
2006-02-21,73.9
2006-02-22,76.3
2006-02-23,75.2
2006-02-24,75
2006-02-27,75.6
2006-02-28,75.2
2006-03-01,75.2
2006-03-02,73.7
2006-03-03,71.4
2006-03-06,69.8
2006-03-07,69
2006-03-08,69.9
2006-03-09,69.1
2006-03-10,68.8
2006-03-13,67.8
2006-03-14,69.4
2006-03-15,70.5
2006-03-16,70.9
2006-03-17,70.5
2006-03-20,70
2006-03-21,68.2
2006-03-22,70.4
2006-03-23,73.1
2006-03-24,73.3
2006-03-27,75
2006-03-28,74.6
2006-03-29,75.6
2006-03-30,74.9
2006-03-31,74.4
2006-04-03,73.8
2006-04-04,73.1
2006-04-05,72.9
2006-04-06,70.1
2006-04-07,70.1
2006-04-10,70.1
2006-04-11,70.4
2006-04-12,71.4
2006-04-13,70.8
2006-04-17,68.8
2006-04-18,69.3
2006-04-19,61.1
2006-04-20,58.7
2006-04-21,57
2006-04-24,58.1
2006-04-25,58.5
2006-04-26,57.6
2006-04-27,56.9
2006-04-28,56
2006-05-01,55.7
2006-05-02,54.7
2006-05-03,54
2006-05-04,55.1
2006-05-05,56.2
2006-05-08,59.9
2006-05-09,63.4
2006-05-10,64.7
2006-05-11,61.2
2006-05-12,59.5
2006-05-15,61
2006-05-16,58.7
2006-05-17,58.6
2006-05-18,59
2006-05-19,59.9
2006-05-22,59.7
2006-05-23,58.5
2006-05-24,58.3
2006-05-25,58
2006-05-26,58.9
2006-05-30,56.7
2006-05-31,58.7
2006-06-01,58.9
2006-06-02,55.3
2006-06-05,56.1
2006-06-06,57.2
2006-06-07,56.1
2006-06-08,54.8
2006-06-09,53.2
2006-06-12,50.8
2006-06-13,51.2
2006-06-14,51.9
2006-06-15,56.2
2006-06-16,56.3
2006-06-19,57.7
2006-06-20,58.1
2006-06-21,63.2
2006-06-22,65
2006-06-23,66.1
2006-06-26,65.6
2006-06-27,63.5
2006-06-28,63.4
2006-06-29,66.4
2006-06-30,69.1
2006-07-03,70.8
2006-07-05,69.3
2006-07-06,70.8
2006-07-07,69.7
2006-07-10,71.2
2006-07-11,70.1
2006-07-12,69.5
2006-07-13,67.4
2006-07-14,64.6
2006-07-17,63.6
2006-07-18,66.6
2006-07-19,69.7
