,MESA US Equity
2019-10-28,7.74
2019-10-29,7.75
2019-10-30,7.77
2019-10-31,7.62
2019-11-01,7.64
2019-11-04,7.55
2019-11-05,7.33
2019-11-06,7.35
2019-11-07,7.6
2019-11-08,7.43
2019-11-11,7.3
2019-11-12,7.11
2019-11-13,7.02
2019-11-14,7.06
2019-11-15,7.19
2019-11-18,7.1
2019-11-19,7.09
2019-11-20,7.09
2019-11-21,6.97
2019-11-22,7.06
2019-11-25,7.105
2019-11-26,7.16
2019-11-27,7.15
2019-11-29,7.27
2019-12-02,7
2019-12-03,8.09
2019-12-04,8.43
2019-12-05,8.73
2019-12-06,8.89
2019-12-09,9.11
2019-12-10,9.07
2019-12-11,9.26
2019-12-12,8.83
2019-12-13,8.86
2019-12-16,8.75
2019-12-17,8.81
2019-12-18,8.76
2019-12-19,8.98
2019-12-20,8.98
2019-12-23,9.4
2019-12-24,9.52
2019-12-26,9.41
2019-12-27,9.14
2019-12-30,8.95
2019-12-31,8.94
2020-01-02,8.84
2020-01-03,8.69
2020-01-06,8.56
2020-01-07,8.58
2020-01-08,8.69
2020-01-09,8.785
2020-01-10,8.64
2020-01-13,8.7
2020-01-14,8.865
2020-01-15,8.96
2020-01-16,9.36
2020-01-17,9.27
2020-01-21,9.07
2020-01-22,9
2020-01-23,9.37
2020-01-24,9.21
2020-01-27,8.71
2020-01-28,8.64
2020-01-29,8.6
2020-01-30,8.66
2020-01-31,8.54
2020-02-03,8.29
2020-02-04,8.24
2020-02-05,8.35
2020-02-06,8.25
2020-02-07,7.805
2020-02-10,7.91
2020-02-11,8.46
2020-02-12,8.35
2020-02-13,8.09
2020-02-14,7.94
2020-02-18,7.69
2020-02-19,7.61
2020-02-20,7.77
2020-02-21,7.68
2020-02-24,7.24
2020-02-25,6.7
2020-02-26,6.3
2020-02-27,5.9
2020-02-28,5.77
2020-03-02,5.95
2020-03-03,5.81
2020-03-04,6.06
2020-03-05,5.34
2020-03-06,5.76
2020-03-09,5.19
2020-03-10,5.43
2020-03-11,4.53
2020-03-12,3.73
2020-03-13,4.72
2020-03-16,3.72
2020-03-17,3.4
2020-03-18,2.89
2020-03-19,2.7
2020-03-20,3.13
2020-03-23,3.02
2020-03-24,3.43
2020-03-25,3.24
2020-03-26,4.09
2020-03-27,3.94
2020-03-30,3.11
2020-03-31,3.29
2020-04-01,3.03
2020-04-02,2.52
2020-04-03,2.13
2020-04-06,2.52
2020-04-07,2.74
2020-04-08,3.25
2020-04-09,3.98
2020-04-13,3.86
2020-04-14,4.155
2020-04-15,4.08
2020-04-16,3.43
2020-04-17,3.29
2020-04-20,3.035
2020-04-21,3.21
2020-04-22,2.93
2020-04-23,3
2020-04-24,2.86
2020-04-27,3.07
2020-04-28,3.63
2020-04-29,4.1
2020-04-30,4.545
2020-05-01,4.15
2020-05-04,3.99
2020-05-05,3.87
2020-05-06,3.55
2020-05-07,3.69
2020-05-08,4.01
2020-05-11,4.06
2020-05-12,3.74
2020-05-13,3.63
2020-05-14,3.33
2020-05-15,3.13
2020-05-18,3.2
2020-05-19,3.15
2020-05-20,3.57
2020-05-21,3.57
2020-05-22,3.5
2020-05-26,3.74
2020-05-27,3.695
2020-05-28,3.41
2020-05-29,3.25
2020-06-01,3.35
2020-06-02,3.38
2020-06-03,3.62
2020-06-04,3.89
2020-06-05,4.31
2020-06-08,4.79
2020-06-09,4.43
2020-06-10,3.82
2020-06-11,3.09
2020-06-12,3.585
2020-06-15,3.6
2020-06-16,3.78
2020-06-17,3.745
2020-06-18,3.69
2020-06-19,3.58
2020-06-22,3.515
2020-06-23,3.54
2020-06-24,3.33
2020-06-25,3.43
2020-06-26,3.41
2020-06-29,3.49
2020-06-30,3.44
2020-07-01,3.33
2020-07-02,3.3
2020-07-06,3.36
2020-07-07,3.23
2020-07-08,3.22
2020-07-09,3.07
2020-07-10,3.21
2020-07-13,3.51
2020-07-14,3.33
2020-07-15,3.55
2020-07-16,3.56
2020-07-17,3.47
2020-07-20,3.35
2020-07-21,3.29
2020-07-22,3.29
2020-07-23,3.4
2020-07-24,3.36
2020-07-27,3.22
2020-07-28,3.23
2020-07-29,3.2
2020-07-30,3.18
2020-07-31,3.1
2020-08-03,3.04
2020-08-04,3.18
2020-08-05,3.21
2020-08-06,3.22
2020-08-07,3.27
2020-08-10,3.49
2020-08-11,3.71
2020-08-12,3.91
2020-08-13,3.87
2020-08-14,3.95
2020-08-17,3.76
2020-08-18,3.72
2020-08-19,3.78
2020-08-20,3.69
2020-08-21,3.6
2020-08-24,3.67
2020-08-25,3.67
2020-08-26,3.525
2020-08-27,3.66
2020-08-28,3.82
2020-08-31,3.66
2020-09-01,3.65
2020-09-02,3.67
2020-09-03,3.56
2020-09-04,3.53
2020-09-08,3.48
2020-09-09,3.4
2020-09-10,3.39
2020-09-11,3.27
2020-09-14,3.34
2020-09-15,3.43
2020-09-16,3.48
2020-09-17,3.415
2020-09-18,3.32
2020-09-21,3.15
2020-09-22,3.12
2020-09-23,3.01
2020-09-24,2.92
2020-09-25,2.96
2020-09-28,3.07
2020-09-29,2.94
2020-09-30,2.95
2020-10-01,2.95
2020-10-02,3.03
2020-10-05,3.08
2020-10-06,2.99
2020-10-07,3.02
2020-10-08,3.38
2020-10-09,3.78
2020-10-12,3.64
2020-10-13,3.36
2020-10-14,3.52
2020-10-15,3.51
2020-10-16,3.43
2020-10-19,3.4
2020-10-20,3.48
2020-10-21,3.44
2020-10-22,3.56
2020-10-23,3.69
2020-10-26,3.48
2020-10-27,3.42
2020-10-28,3.2
2020-10-29,3.2
2020-10-30,3.16
2020-11-02,3.25
2020-11-03,3.45
